estado,temperatura_max_c
Aguascalientes,32.0
Baja California,33.6
Baja California Sur,34.8
Campeche,36.7
Coahuila,37.1
Colima,33.6
Chiapas,33.5
Chihuahua,35.0
Ciudad de Mexico,29.1
Durango,33.6
Guanajuato,33.0
Guerrero,34.9
Hidalgo,31.3
Jalisco,33.9
Estado de Mexico,26.8
Michoacan,33.2
Morelos,35.1
Nayarit,35.2
Nuevo Leon,36.8
Oaxaca,33.6
Puebla,30.6
Queretaro,33.2
Quintana Roo,33.8
San Luis Potosi,36.5
Sinaloa,36.7
Sonora,38.2
Tabasco,36.5
Tamaulipas,37.0
Tlaxcala,27.5
Veracruz,33.4
Yucatan,35.9
Zacatecas,33.0
