itm_hasta,cu_calibre,cu_seccion_mm2,al_calibre,al_seccion_mm2
15,14 AWG,2.08,,
20,12 AWG,3.31,,
30,10 AWG,5.26,,
40,10 AWG,5.26,,
60,10 AWG,5.26,,
100,8 AWG,8.37,6 AWG,13.3
200,6 AWG,13.3,4 AWG,21.2
300,4 AWG,21.2,2 AWG,33.6
400,3 AWG,26.7,1 AWG,42.4
500,2 AWG,33.6,1/0 AWG,53.5
600,1 AWG,42.4,2/0 AWG,67.4
800,1/0 AWG,53.5,3/0 AWG,85.0
1000,2/0 AWG,67.4,4/0 AWG,107.2
1200,3/0 AWG,85.0,250 MCM,126.7
1600,4/0 AWG,107.2,300 MCM,152.0
2000,250 MCM,126.7,350 MCM,177.3
2500,300 MCM,152.0,400 MCM,202.7
3000,350 MCM,177.3,500 MCM,253.4
4000,400 MCM,202.7,600 MCM,304.0
5000,500 MCM,253.4,750 MCM,380.0
6000,600 MCM,304.0,800 MCM,405.0
